	記号,一般,*,*,*,*,*
水	名詞,一般,*,*,*,*,水,ミズ,ミズ
っ	動詞,非自立,*,*,五段・カ行促音便,連用タ接続,く,ッ,ッ
ぱら	副詞,一般,*,*,*,*,ぱら,パラ,パラ
つらい	形容詞,自立,*,*,形容詞・アウオ段,基本形,つらい,ツライ,ツライ
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
クラス	名詞,一般,*,*,*,*,クラス,クラス,クラス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
セル	名詞,固有名詞,一般,*,*,*,セル,セル,セル
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
豆	名詞,一般,*,*,*,*,豆,マメ,マメ
食っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,食う,クッ,クッ
て	動詞,非自立,*,*,一段,連用形,てる,テ,テ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
も	助詞,係助詞,*,*,*,*,も,モ,モ
自爆	名詞,サ変接続,*,*,*,*,自爆,ジバク,ジバク
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
アイス	名詞,一般,*,*,*,*,アイス,アイス,アイス
派	名詞,接尾,一般,*,*,*,派,ハ,ハ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
猫舌	名詞,一般,*,*,*,*,猫舌,ネコジタ,ネコジタ
うん	感動詞,*,*,*,*,*,うん,ウン,ウン
。	記号,句点,*,*,*,*,。,。,。
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
。	記号,句点,*,*,*,*,。,。,。
一昨日	名詞,副詞可能,*,*,*,*,一昨日,オトトイ,オトトイ
、	記号,読点,*,*,*,*,、,、,、
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
携帯	名詞,サ変接続,*,*,*,*,携帯,ケイタイ,ケイタイ
拾っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,拾う,ヒロッ,ヒロッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
くれ	動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
とー	名詞,固有名詞,一般,*,*,*,トー,トー,トー
ござい	動詞,自立,*,*,五段・ラ行特殊,連用形,ござる,ゴザイ,ゴザイ
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
❗	記号,一般,*,*,*,*,!,ビックリ,ビックリ
❤	記号,一般,*,*,*,*,ハート,ハート,ハート
(^_^ゞ	記号,一般,*,*,*,*,(^_^ゞ,カオモジ,カオモジ
ぜひ	副詞,一般,*,*,*,*,ぜひ,ゼヒ,ゼヒ
、	記号,読点,*,*,*,*,、,、,、
油そば	名詞,固有名詞,一般,*,*,*,油そば,アブラソバ,アブラソバ
食べに	名詞,一般,*,*,*,*,食紅,ショクベニ,ショクベニ
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
‼	記号,一般,*,*,*,*,二重感嘆符,ニジュウカンタンフ,ニジュウカンタンフ
ｺﾞﾁｿｰ	名詞,一般,*,*,*,*,*
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
🍜	記号,一般,*,*,*,*,ラーメン,ラーメン,ラーメン
古本屋	名詞,一般,*,*,*,*,古本屋,フルホンヤ,フルホンヤ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
メランコリニスタ	名詞,固有名詞,一般,*,*,*,メランコリニスタ,メランコリニスタ,メランコリニスタ
流れ	動詞,自立,*,*,一段,連用形,流れる,ナガレ,ナガレ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
じ	助動詞,*,*,*,不変化型,基本形,じ,ジ,ジ
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ
ぁぁって	名詞,一般,*,*,*,*,*
昔	名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
記憶	名詞,サ変接続,*,*,*,*,記憶,キオク,キオク
蘇る	動詞,自立,*,*,五段・ラ行,基本形,蘇る,ヨミガエル,ヨミガエル
不意打ち	名詞,一般,*,*,*,*,不意打ち,フイウチ,フイウチ
ジャブ	名詞,一般,*,*,*,*,ジャブ,ジャブ,ジャブ
👊	記号,一般,*,*,*,*,パンチ,パンチ,パンチ
やっぱ	副詞,一般,*,*,*,*,やっぱ,ヤッパ,ヤッパ
班長	名詞,一般,*,*,*,*,班長,ハンチョウ,ハンチョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
煽り	名詞,一般,*,*,*,*,煽り,アオリ,アオリ
はんぱ	名詞,形容動詞語幹,*,*,*,*,半端,ハンパ,ハンパ
ねー	助詞,終助詞,*,*,*,*,ねー,ネー,ネー
とりあえず	副詞,助詞類接続,*,*,*,*,とりあえず,トリアエズ,トリアエズ
楽しかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,楽しい,タノシカッ,タノシカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ
明日	名詞,副詞可能,*,*,*,*,明日,アシタ,アシタ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
も	助詞,係助詞,*,*,*,*,も,モ,モ
頑張れる	動詞,自立,*,*,一段,基本形,頑張れる,ガンバレル,ガンバレル
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
！	記号,一般,*,*,*,*,！,！,！
サンレコ	名詞,固有名詞,一般,*,*,*,サンレコ,サンレコ,サンレコ
買お	動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,買う,カオ,カオ
😇	記号,一般,*,*,*,*,にっこり(天使),ニッコリ,ニッコリ
沖縄	名詞,固有名詞,地域,一般,*,*,沖縄,オキナワ,オキナワ
楽しみ	名詞,一般,*,*,*,*,楽しみ,タノシミ,タノシミ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ひと	接頭詞,名詞接続,*,*,*,*,ひと,ヒト,ヒト
ふぁ	名詞,一般,*,*,*,*,ファ,ファ,ファ
ぼ	動詞,自立,*,*,五段・ラ行,体言接続特殊２,ぼる,ボ,ボ
。	記号,句点,*,*,*,*,。,。,。
どれ	名詞,代名詞,一般,*,*,*,どれ,ドレ,ドレ
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
。	記号,句点,*,*,*,*,。,。,。
いつも	副詞,一般,*,*,*,*,いつも,イツモ,イツモ
以上	名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
欲しい	形容詞,非自立,*,*,形容詞・イ段,基本形,欲しい,ホシイ,ホシイ
。	記号,句点,*,*,*,*,。,。,。
笑	名詞,固有名詞,人名,名,*,*,笑,エミ,エミ
楽しみ	名詞,一般,*,*,*,*,楽しみ,タノシミ,タノシミ
